apple,0.3,14,0.3,2.4
almond,21,22,49,12
asparagus,2.2,3.9,0.1,2.1
avocado,2,9,15,7
barley hulled or pearl,12,73,2.3,17
bell peppers green,0.9,4.6,0.2,1.7
bell peppers red or yellow,1,6,0.2,0.2
blackberry,1.4,10,0.5,5
black beans,21,63,0.9,16
blueberry,0.7,14,0.3,2.4
broccoli,2.8,7,0.4,2.6
brown rice,2.6,23,0.9,1.8
brussel sprout,3.4,9,0.3,3.8
bulgar wheat,12,76,1.3,18
buckwheat,13,72,3.4,10
carrot,0.9,10,0.2,2.8
cashew,18,30,44,3.3
chicken breast,31,0,3.6,0
cookie,6,58,28,0
couscous,3.8,23,0.2,1.4
cucumber,0.7,3.6,0.1,0.5
cauliflower,1.9,5,0.3,2
egg white,11,0.7,0.2,0
farro,13.3,67,0,6.7
flax seed,18,29,42,27
garbanzo beans,19,61,6,17
guacamole,2.2,7.9,9,4.5
grapes,0.6,17,0.4,0.9
green bean,1.8,7,0.1,3.4
kale,4.3,9,0.9,2
kamut,6,30,0.9,3.9
kidney beans,24,60,0.8,25
lentil,9,20,0.4,1.8
millet ,11,73,4.2,9
mushroom white,3.1,3.3,0.3,1
nectarine,1.1,11,0.3,1.7
oatmeal cooked,2.5,10,1,1.5
oatmeal raw,11.1,69.4,6.9,11.1
olive,0.8,6,11,3.2
peach ,0.9,10,0.3,1.5
pear,0.4,15,0.1,3.1
peas,5,14,0.4,5
pecan,9,14,72,10
pineapple,0.5,13,0.1,1.4
pistachio,20,28,45,10
plum,0.7,11.4,0.3,1.4
quinoa,4.4,21.3,1.9,2.8
radish,0.7,3.4,0.1,1.6
red beet,1.6,10,0.2,2.8
red cabbage,1.4,7,0.2,2.1
rx bar chocolate,24,48,18,10
salmon scottish smoked,23.2,0,14.3,0
spinach,2.9,3.6,0.4,2.2
squash,1,12,0.1,2
strawberry,0.7,8,0.3,2
sweet potato,1.6,20,0.1,3
tilapia,26,0,2.7,0
tuna, 25, 0, 1, 0
turkey,29,0,7,0
yam,1.5,28,0.2,4.1
zuchini,1.2,3.1,0.3,1
